,Year,State,Region,County,Population,Median Income,Median Housing Price
0,2018,California,NorCal,Lake County,64382,48554,269408.3333333333
1,2018,California,NorCal,Merced County,274765,57745,268086.6666666667
2,2018,California,NorCal,Stanislaus County,549815,60321,312658.3333333333
3,2018,California,SoCal,Santa Barbara County,446527,77472,662729.1666666666
4,2018,California,NorCal,Sacramento County,1540975,69767,365454.1666666667
5,2018,California,NorCal,El Dorado County,190678,82742,491687.4166666667
6,2018,California,NorCal,Monterey County,435594,70681,618520.8333333334
7,2018,California,NorCal,San Francisco County,883305,112376,1573333.3333333333
8,2018,California,SoCal,San Diego County,3343364,79079,631283.3333333334
9,2018,California,NorCal,Tulare County,465861,48817,232981.66666666666
10,2018,California,NorCal,Humboldt County,136373,50294,311112.5
11,2018,California,NorCal,Madera County,157672,56305,261362.5
12,2018,California,NorCal,Santa Cruz County,274255,86941,882375.0
13,2018,California,SoCal,Riverside County,2450758,66964,401593.3333333333
14,2018,California,SoCal,San Bernardino County,2171603,63857,289050.0
15,2018,California,NorCal,Marin County,259666,126373,1344328.3333333333
16,2018,California,NorCal,Placer County,393149,88592,480125.8333333333
17,2018,California,NorCal,Shasta County,180040,56280,265287.5
18,2018,California,NorCal,Solano County,446610,84395,442833.3333333333
19,2018,California,NorCal,Butte County,231256,51652,320112.5
20,2018,California,NorCal,Kings County,151366,61663,232723.33333333334
21,2018,California,SoCal,San Luis Obispo County,284010,71148,616472.0833333334
22,2018,California,NorCal,Fresno County,994400,52629,268630.8333333333
23,2018,California,SoCal,Kern County,896764,51579,239865.0
24,2018,California,SoCal,Orange County,3185968,89759,815319.1666666666
25,2018,California,SoCal,Ventura County,850967,84566,654005.8333333334
26,2018,California,NorCal,Sutter County,96807,59121,293766.6666666667
27,2018,California,NorCal,San Mateo County,769545,124425,1580333.3333333333
28,2018,California,NorCal,San Joaquin County,752660,64119,367850.0
29,2018,California,NorCal,Yuba County,78041,46574,278813.3333333333
30,2018,California,NorCal,Sonoma County,499942,81395,667375.0
31,2018,California,NorCal,Alameda County,1666753,102125,926358.3333333334
32,2018,California,NorCal,Napa County,139417,87025,704833.3333333334
33,2018,California,NorCal,Yolo County,220408,68670,439729.1666666667
34,2018,California,NorCal,Nevada County,99696,66299,412640.6666666667
35,2018,California,NorCal,Mendocino County,87606,51830,419929.1666666667
36,2018,California,SoCal,Los Angeles County,10105518,68093,572350.0
37,2018,California,NorCal,Santa Clara County,1937570,126606,1318250.0
38,2019,California,NorCal,Lake County,64386,47138,265908.3333333333
39,2019,California,NorCal,Yuba County,78668,58765,294937.5
40,2019,California,NorCal,Sonoma County,494336,87828,655243.3333333334
41,2019,California,NorCal,Alameda County,1671329,108322,911500.0
42,2019,California,NorCal,Napa County,137744,92769,706062.5
43,2019,California,NorCal,Yolo County,220500,71417,452575.8333333333
44,2019,California,NorCal,Nevada County,99755,68818,414954.1666666667
45,2019,California,NorCal,Mendocino County,86749,51744,402654.1666666667
46,2019,California,SoCal,Los Angeles County,10039107,72797,591863.3333333334
47,2019,California,NorCal,Santa Clara County,1927852,133076,1257229.1666666667
48,2019,California,NorCal,Merced County,277680,61167,279136.6666666667
49,2019,California,NorCal,Stanislaus County,550660,63037,326854.1666666667
50,2019,California,SoCal,Santa Barbara County,446499,75653,692416.6666666666
51,2019,California,NorCal,Tehama County,65084,53475,255875.0
52,2019,California,NorCal,Sacramento County,1552058,72017,379437.5
53,2019,California,NorCal,El Dorado County,192843,87059,497453.3333333333
54,2019,California,NorCal,Monterey County,434061,77514,630105.0
55,2019,California,NorCal,San Francisco County,881549,123859,1589416.6666666667
56,2019,California,SoCal,San Diego County,3338330,83985,643795.8333333334
