Mon-Yr,CA*,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Jan-18,-2.7%,-38.7%,-36.5%,-28.5%,-31.6%,-28.9%,5.3%,-32.5%,-20.3%,6.7%,-25.9%,-21.1%,-23.4%,-30.8%,-13.0%,-27.3%,-45.8%,-37.8%,-20.0%,-15.6%,-1.8%,-28.6%,-14.6%,-24.8%,-28.0%,-21.9%,-28.9%,-33.3%,-18.6%,-20.8%,-17.3%,-12.9%,-21.4%,-34.0%,-21.3%,-11.8%,-46.1%,-24.3%,-35.6%,-31.1%,-13.1%,-16.7%,-28.0%,-24.5%,-20.9%,-6.5%,-13.5%,NA,-20.8%,-12.7%,-8.0%,-33.1%,-15.9%,,-24.1%,-21.5%,-19.7%,-35.8%,-19.2%,-16.4%,-33.7%,-21.5%
Feb-18,3.3%,5.4%,15.2%,0.0%,7.5%,0.7%,-10.0%,-5.0%,8.7%,-31.3%,-7.0%,3.4%,-11.1%,-7.4%,-35.0%,-6.0%,-2.1%,1.2%,25.0%,-26.3%,2.8%,80.0%,-8.2%,-7.9%,33.3%,5.0%,-0.6%,-30.0%,1.7%,0.4%,-18.6%,-11.2%,4.4%,8.6%,-4.8%,-21.9%,30.2%,1.3%,19.3%,-23.5%,-2.6%,-17.5%,8.0%,-5.5%,-5.9%,8.3%,3.1%,NA,-0.4%,-27.3%,-17.7%,6.2%,5.2%,,5.7%,-4.0%,-12.8%,-0.1%,-5.8%,-3.6%,7.5%,-2.5%
Mar-18,0.3%,64.0%,34.2%,42.6%,15.1%,60.2%,5.6%,45.5%,35.5%,45.5%,37.5%,37.0%,60.9%,32.0%,123.1%,39.6%,47.4%,83.5%,-10.0%,3.6%,25.5%,-22.2%,39.5%,27.1%,34.4%,45.1%,52.3%,0.0%,35.0%,22.9%,57.1%,32.1%,33.1%,89.1%,42.1%,73.2%,55.8%,42.2%,59.0%,51.1%,19.1%,21.2%,35.3%,37.7%,45.3%,10.3%,3.0%,NA,34.9%,117.5%,57.8%,53.5%,26.2%,,40.2%,39.0%,51.3%,35.6%,27.2%,33.9%,56.6%,37.9%
Apr-18,-1.7%,9.4%,-13.7%,6.5%,-2.0%,2.6%,21.1%,8.0%,-0.7%,-18.8%,5.5%,-6.9%,-1.9%,18.2%,-48.3%,2.9%,2.9%,32.7%,44.4%,20.7%,-19.6%,0.0%,1.3%,5.6%,-14.7%,1.9%,12.7%,-14.3%,4.3%,13.9%,7.3%,0.6%,6.7%,-2.6%,-12.7%,-5.9%,-1.1%,-1.7%,8.7%,25.6%,17.9%,-15.0%,1.9%,4.9%,-3.4%,-12.8%,20.6%,NA,-6.6%,-2.3%,-6.2%,20.5%,2.6%,,4.9%,2.3%,2.0%,1.5%,7.1%,2.9%,6.0%,3.1%
May-18,-1.8%,15.5%,43.2%,1.2%,34.0%,18.9%,-17.4%,0.7%,12.0%,138.5%,-2.6%,33.0%,3.0%,3.8%,93.3%,17.6%,22.9%,15.5%,38.5%,62.9%,30.6%,42.9%,15.3%,10.6%,10.0%,12.4%,11.4%,225.0%,6.5%,9.4%,10.2%,9.5%,10.2%,26.9%,21.1%,23.4%,31.0%,8.4%,14.2%,8.4%,2.7%,47.1%,15.1%,13.0%,12.9%,22.7%,-14.6%,NA,18.2%,-14.1%,13.3%,13.2%,7.6%,,8.5%,12.6%,14.6%,15.4%,11.3%,7.6%,17.3%,12.1%
Jun-18,0.4%,8.2%,19.0%,15.1%,-21.5%,0.2%,15.8%,9.4%,2.3%,-61.3%,18.6%,-7.1%,-7.7%,1.2%,-24.1%,2.1%,-1.1%,-3.8%,27.8%,21.1%,9.7%,30.0%,-8.5%,0.0%,33.1%,1.1%,4.9%,-35.9%,-3.0%,-0.2%,-23.1%,1.8%,2.9%,-3.8%,0.5%,5.7%,-5.3%,9.8%,-7.0%,-3.9%,12.2%,-8.0%,-3.0%,1.8%,1.0%,1.1%,28.6%,NA,0.3%,26.0%,6.5%,-5.0%,-5.9%,,-0.3%,0.9%,1.2%,-0.3%,7.3%,-1.2%,-0.8%,1.3%
Jul-18,-0.9%,-6.0%,-20.0%,-7.3%,2.9%,-1.6%,4.5%,8.9%,-12.0%,41.7%,-10.4%,-4.3%,6.3%,-7.3%,50.0%,-20.3%,-17.1%,-17.0%,-47.8%,-10.1%,-3.8%,-7.7%,-13.3%,10.6%,-14.3%,-5.8%,-18.3%,80.0%,-5.2%,-7.5%,-8.0%,-7.4%,-7.8%,-17.2%,-3.9%,-20.4%,-7.0%,-10.8%,-14.6%,5.7%,-15.5%,4.3%,-2.2%,-4.0%,-8.2%,-24.7%,-26.7%,NA,-4.0%,-3.3%,4.7%,-13.5%,18.8%,,-5.6%,-11.3%,-11.7%,-8.4%,-6.3%,-6.1%,-7.1%,-10.7%
Aug-18,-1.8%,-8.7%,-15.0%,14.1%,19.0%,-5.2%,-8.7%,-6.2%,7.2%,-29.4%,4.2%,6.5%,9.8%,17.1%,0.0%,5.5%,-1.4%,9.9%,8.3%,-8.1%,16.3%,25.0%,8.8%,7.8%,0.7%,-2.9%,6.8%,6.7%,-2.0%,4.3%,-13.0%,15.4%,-1.1%,-2.7%,1.8%,15.0%,-6.0%,15.5%,7.9%,2.2%,16.3%,20.8%,6.4%,16.8%,13.2%,12.9%,15.2%,NA,-7.1%,-5.6%,-0.6%,2.0%,12.6%,,2.0%,3.2%,11.0%,5.0%,14.3%,4.6%,0.3%,2.4%
Sep-18,-4.4%,-23.6%,13.7%,-32.2%,-19.2%,-24.9%,19.0%,-20.7%,-22.3%,100.0%,-18.4%,-23.9%,-19.6%,-31.5%,-21.2%,-18.3%,-7.7%,-16.7%,0.0%,-15.8%,-37.6%,-6.7%,-2.1%,-26.6%,-34.5%,-20.3%,-23.7%,-33.3%,-16.6%,-21.0%,-5.0%,-19.5%,-21.5%,-20.2%,-20.2%,-22.5%,-17.4%,-31.2%,-22.2%,-28.7%,-13.4%,-5.2%,-25.3%,-27.0%,-16.9%,-22.8%,7.9%,NA,-20.1%,-27.4%,-25.4%,-32.5%,-34.6%,,-23.8%,-18.8%,-21.3%,-21.0%,-18.9%,-17.8%,-23.2%,-19.3%
Oct-18,3.9%,24.9%,27.6%,23.4%,14.9%,11.2%,0.0%,22.6%,8.4%,-33.3%,26.5%,16.9%,-3.3%,14.8%,-3.8%,29.0%,6.8%,15.4%,23.1%,27.1%,16.2%,21.4%,-7.8%,14.3%,47.3%,3.9%,1.2%,46.9%,9.0%,9.4%,21.1%,2.7%,6.5%,65.8%,20.4%,2.5%,38.8%,19.5%,13.1%,33.6%,12.0%,-16.4%,3.4%,28.0%,5.2%,26.2%,2.4%,NA,28.4%,27.9%,17.6%,9.8%,14.3%,,14.0%,15.1%,8.8%,10.8%,12.5%,6.4%,20.1%,13.5%
Nov-18,-3.9%,-10.9%,-43.2%,-7.1%,-33.6%,-5.8%,-20.0%,-28.6%,-6.4%,12.5%,-24.0%,-14.8%,-3.4%,-11.4%,-40.0%,-17.5%,2.1%,-25.7%,-12.5%,-13.1%,-22.5%,-47.1%,-6.1%,-11.5%,-30.6%,-7.5%,-5.1%,-44.7%,-14.8%,-10.2%,-4.3%,-8.0%,-8.4%,-14.0%,-20.1%,-14.4%,-22.1%,-20.3%,-10.9%,-24.0%,-17.2%,-19.6%,-2.7%,-25.5%,-17.2%,-16.9%,-38.1%,NA,-16.2%,-15.4%,-18.8%,-12.5%,-1.3%,,-18.2%,-14.0%,-15.9%,-11.7%,-19.1%,-12.2%,-12.7%,-13.1%
Dec-18,-2.5%,-24.2%,0.0%,97.5%,11.7%,-19.1%,-40.0%,-15.5%,-4.1%,77.8%,-15.3%,-7.1%,-7.1%,17.7%,53.3%,-3.0%,-18.8%,-21.3%,18.8%,-17.0%,22.0%,-55.6%,-26.1%,-14.1%,1.1%,-15.5%,-10.2%,0.0%,-4.9%,-14.8%,-15.9%,-17.4%,-7.4%,-24.5%,1.1%,-16.3%,-24.0%,0.0%,-22.0%,-16.2%,-1.3%,-13.5%,-13.0%,-10.0%,-6.2%,26.6%,184.6%,NA,-11.5%,21.2%,-14.0%,-1.0%,2.5%,,-10.1%,-8.3%,-14.9%,-8.0%,40.1%,-10.1%,-20.2%,-8.1%
