Mon-Yr,CA*,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
18-Jan,-2.90%,-5.90%,-2.90%,9.10%,12.70%,-6.90%,42.90%,-10.40%,-2.30%,0.00%,3.60%,-3.80%,-1.40%,-8.50%,17.60%,-6.80%,-50.80%,3.70%,-42.90%,-2.60%,27.40%,-37.50%,9.60%,0.00%,-20.00%,-6.60%,11.40%,-9.10%,-3.50%,3.50%,43.30%,5.60%,-2.40%,-8.80%,9.70%,-5.20%,-9.50%,6.00%,-4.50%,-0.90%,12.20%,48.10%,-12.00%,15.00%,0.60%,44.00%,18.50%,0.00%,12.40%,10.00%,3.70%,-28.30%,1.80%
18-Feb,5.40%,6.80%,65.20%,-6.10%,22.90%,11.20%,28.60%,24.30%,-14.90%,-8.30%,17.60%,4.20%,-17.90%,8.70%,44.40%,-3.90%,111.10%,1.20%,-33.30%,-9.70%,31.00%,50.00%,7.70%,18.60%,28.00%,-1.00%,0.00%,16.70%,-0.80%,11.40%,-7.90%,-2.00%,-4.20%,-4.70%,9.40%,-4.30%,16.10%,16.70%,5.70%,-9.30%,7.40%,43.50%,3.10%,3.90%,-4.50%,69.60%,73.70%,0.00%,3.50%,-16.70%,-7.10%,-4.40%,-11.60%
18-Mar,1.60%,5.20%,4.10%,-0.60%,12.50%,0.80%,72.70%,15.10%,8.50%,14.30%,6.80%,-6.10%,18.40%,-9.60%,45.00%,-7.60%,-28.90%,10.60%,0.00%,-29.30%,23.20%,-30.00%,14.20%,-23.90%,19.40%,-3.20%,4.90%,27.30%,-9.00%,-0.40%,27.90%,0.40%,-10.40%,12.40%,1.00%,0.70%,6.40%,15.10%,6.90%,18.80%,-9.70%,2.60%,-2.20%,-0.60%,-8.80%,34.40%,-15.00%,0.00%,9.30%,35.90%,-2.90%,10.00%,-3.80%
18-Apr,2.20%,14.50%,-12.00%,-3.00%,5.40%,7.10%,21.10%,13.40%,1.90%,-27.80%,19.60%,2.40%,23.20%,-7.10%,-25.00%,0.10%,-22.20%,-0.50%,-23.50%,-27.10%,13.30%,-30.00%,29.00%,3.30%,0.90%,1.10%,12.00%,-55.60%,1.80%,6.50%,31.10%,9.80%,-1.30%,-3.10%,-13.50%,-1.20%,-1.10%,23.00%,8.70%,21.00%,8.20%,-2.90%,-4.40%,6.80%,1.10%,13.60%,46.40%,0.00%,9.20%,10.40%,-6.70%,10.40%,5.30%
18-May,-4.60%,6.70%,6.80%,-7.30%,17.10%,5.10%,18.80%,-0.70%,0.90%,40.90%,10.80%,20.90%,8.30%,-15.60%,93.30%,-5.50%,3.50%,3.50%,-5.30%,-1.70%,2.10%,-16.70%,16.70%,-14.80%,-20.40%,-7.40%,-6.50%,14.70%,-8.70%,2.40%,38.30%,2.10%,-6.10%,10.80%,-6.90%,0.30%,2.50%,-10.00%,-1.70%,34.10%,3.40%,-7.40%,-0.70%,-3.20%,-5.80%,5.70%,-32.70%,0.00%,6.40%,-5.20%,-5.90%,-5.30%,-4.50%
18-Jun,-7.30%,3.20%,56.30%,7.30%,-8.10%,-7.50%,69.20%,-4.70%,-3.60%,-52.00%,24.10%,-2.40%,-11.10%,-16.30%,-8.30%,-10.80%,-24.90%,-7.30%,21.10%,46.80%,15.20%,30.00%,-10.40%,-17.50%,4.50%,-9.90%,-3.00%,-51.90%,-16.90%,-3.30%,-12.30%,-10.20%,-8.60%,3.20%,-15.20%,9.20%,-12.10%,-8.80%,-15.40%,-12.10%,-1.30%,-2.10%,-9.40%,-15.50%,-6.90%,-3.10%,-6.30%,0.00%,-5.60%,5.70%,-18.00%,-18.20%,-27.30%
18-Jul,-3.40%,15.50%,13.20%,-9.20%,16.70%,10.60%,21.10%,20.70%,-23.70%,-19.00%,2.60%,8.00%,-2.90%,2.70%,32.00%,-0.90%,64.80%,-11.60%,9.10%,8.80%,16.80%,-36.80%,2.90%,13.90%,9.50%,-1.40%,-3.70%,28.60%,1.30%,-1.60%,-11.50%,-2.10%,0.50%,-6.90%,4.30%,0.80%,10.90%,4.40%,-16.70%,30.50%,0.80%,11.60%,4.40%,-1.80%,-5.10%,0.00%,3.10%,0.00%,13.10%,29.00%,8.90%,0.00%,13.10%
18-Aug,-6.60%,-6.70%,6.30%,-1.00%,-0.80%,-10.10%,-19.20%,-12.30%,-27.30%,-40.00%,4.20%,10.30%,0.90%,-7.30%,32.00%,-8.90%,120.00%,15.40%,-18.80%,5.60%,10.60%,25.00%,-6.70%,17.00%,7.80%,-9.70%,-11.50%,-5.90%,-6.60%,-2.20%,-40.30%,-4.30%,-10.40%,-10.30%,-12.30%,3.00%,-1.80%,-2.80%,-8.20%,6.80%,4.50%,26.10%,-8.90%,-7.70%,-4.30%,-18.60%,-7.30%,0.00%,-1.30%,-17.60%,-2.90%,-13.20%,32.10%
18-Sep,-12.60%,-10.40%,7.40%,-9.30%,4.10%,-17.30%,38.90%,-18.70%,-14.50%,9.10%,-14.30%,-8.20%,11.10%,-29.10%,-7.10%,-22.00%,-20.50%,-1.10%,85.70%,-23.80%,-20.10%,-36.40%,6.00%,-14.20%,-15.00%,-21.80%,-18.80%,-22.00%,-9.70%,-13.80%,-5.00%,-12.40%,-15.60%,-11.50%,-24.00%,-14.70%,-14.60%,-21.20%,-22.60%,-24.70%,-1.50%,12.20%,-19.30%,-19.40%,-13.20%,-27.40%,28.10%,0.00%,-17.80%,-25.60%,-18.10%,-32.90%,-11.40%
18-Oct,-7.90%,-8.60%,25.40%,4.30%,11.50%,-10.00%,0.00%,2.20%,-6.50%,6.70%,11.20%,8.50%,6.10%,0.00%,-7.40%,-5.90%,2.20%,18.80%,45.50%,24.50%,-1.50%,13.30%,-11.30%,30.00%,13.60%,-11.30%,-18.90%,0.00%,-2.90%,-3.10%,-9.80%,-11.40%,-13.20%,5.20%,-5.70%,-7.30%,13.50%,0.40%,-5.80%,-2.70%,11.10%,4.50%,-21.50%,19.20%,-5.10%,-15.40%,-2.30%,0.00%,16.30%,-16.10%,1.10%,-26.30%,-7.00%
